8.285905,-0.575
24.19953,1.425
49.93432,-5.375
49.93572,-5.36124
62.28305,3.958466
7.471872,-0.575
24.20994,1.425
42.62813,-1.775
73.52229,-6.975
73.46858,-6.815711
30.54946,-1.775
42.63678,-1.775
60.23231,-7.452368
85.51099,-7.505394
55.111,-7.549732
87.31468,-5.375
14.10841,-2.099042
-6.089001,-12.83311
-7.154136,-12.77935
48.37327,-5.375
13.858,-2.109481
62.03783,3.825
132.3954,-1.375
42.63879,-1.727141
57.91101,-7.408156
23.63615,-2.101747
7.497025,-0.575
49.17629,-5.375
15.85859,-0.575
16.02421,-0.575
85.27575,-7.514421
15.79538,-0.362345
15.78475,-0.575
16.14022,-0.575
34.39865,-2.079465
23.911,-2.035223
71.83367,-6.975
23.911,-1.978574
111.7572,-4.727944
